"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.1,2,0,1,1,0.8,100,1787.69925008062,0.180170904753895,1514.81005394345,761.258295034788,0.141588735241841,775.427560614787
0.1,2,0,1,1,1,100,1931.51105549535,0.164977627002695,1659.88969029018,847.385197536486,0.171656582147706,868.600603096161
0.1,2,0,1,3,0.8,100,1796.85949737496,0.198134711727995,1522.91393926711,754.434553132071,0.200179297647112,758.278551329858
0.1,2,0,1,3,1,100,1850.71842335093,0.20436980659476,1579.31776646205,915.763514880622,0.167139211864881,926.884684197745
0.1,2,1,0.8,1,0.8,100,1744.83142644363,0.18081692921265,1476.19855375744,672.172027469278,0.180854274098854,691.927593808481
0.1,2,1,0.8,1,1,100,1858.67822876103,0.149921379160009,1586.24224795387,835.576124367488,0.146758628033075,860.315284634361
0.1,2,1,0.8,3,0.8,100,1798.86956391712,0.214287293507198,1519.68420758929,801.387119351883,0.181538478569593,810.11515839204
0.1,2,1,0.8,3,1,100,1816.46270731856,0.211584686469284,1538.81109328497,854.047445004221,0.212297951051071,866.549280783109
0.1,2,1,1,1,0.8,100,1788.22220458698,0.186103842800146,1517.94706798735,777.682458096309,0.206230105136592,789.172884265056
0.1,2,1,1,1,1,100,1931.51105549535,0.164977627002695,1659.88969029018,847.385197536486,0.171656582147706,868.600603096161
0.1,2,1,1,3,0.8,100,1769.41336868522,0.178895988409187,1503.0487281436,759.967302602418,0.173245783257046,774.152651057092
0.1,2,1,1,3,1,100,1850.71842335093,0.20436980659476,1579.31776646205,915.763514880622,0.167139211864881,926.884684197745
0.01,3,0,0.8,1,0.8,100,4855.06450537048,0.0724915614487498,4667.97407226563,679.519494588847,0.0961759171441439,738.936645849373
0.01,3,0,0.8,1,1,100,4768.07744784017,0.0668358632769336,4570.19612630208,718.805168036574,0.0858524549788903,779.145470896007
0.01,3,0,0.8,3,0.8,100,4819.1264214847,0.129288857266269,4632.36181175595,666.631585983984,0.112868030566518,726.610405532807
0.01,3,0,0.8,3,1,100,4712.08367260227,0.102937487746158,4516.71748511905,706.775267006593,0.153081373427807,769.868021534321
0.01,3,0,1,1,0.8,100,4859.71013290878,0.068810835126075,4674.93224516369,641.781664686437,0.0710376625906597,695.001662531262
0.01,3,0,1,1,1,100,4769.33362232908,0.0740392694783077,4571.42133556548,710.587709216859,0.0951645799740305,770.896446574522
0.01,3,0,1,3,0.8,100,4836.23684256583,0.132994732446377,4653.84676339286,619.767920457808,0.104999679970576,674.000559742182
0.01,3,0,1,3,1,100,4711.66968725036,0.107395866849428,4516.27854585193,686.723888814107,0.167407036022837,748.963681686745
0.01,3,1,0.8,1,0.8,100,4851.40532415057,0.113040586733772,4663.29927222842,676.915773860368,0.155200250849499,734.394924939677
0.01,3,1,0.8,1,1,100,4769.16827229123,0.0586064118946667,4571.61637834821,721.128818734468,0.0710843996161062,781.276557944699
0.01,3,1,0.8,3,0.8,100,4805.24379568291,0.136970428842992,4618.47360026042,655.559007045543,0.125395602032018,714.415075099157
0.01,3,1,0.8,3,1,100,4710.17089851167,0.0990609198197367,4514.81474144345,708.395809601371,0.133236487450341,771.637850149034
0.01,3,1,1,1,0.8,100,4858.37993512516,0.074111833358999,4671.97956426711,626.717082385702,0.0802244498534096,680.716164851295
0.01,3,1,1,1,1,100,4769.33362232908,0.0740392694783077,4571.42133556548,710.587709216859,0.0951645799740305,770.896446574522
0.01,3,1,1,3,0.8,100,4824.76731965126,0.126519257231145,4640.08142206101,634.215927176116,0.106656717657934,690.142574597208
0.01,3,1,1,3,1,100,4711.66968725036,0.107395866849428,4516.27854585193,686.723888814107,0.167407036022837,748.963681686745
0.1,3,0,0.8,1,0.8,100,1731.14667755766,0.207093128739134,1462.48274274554,801.264350248276,0.18216071725131,801.442022202772
0.1,3,0,0.8,1,1,100,1809.57040777863,0.208917314502137,1522.5741187686,722.058811387904,0.191514105209868,729.093008611754
